"date","depth.m","variable","value"
1989-05-28,10,"DO_mgL",10.1
1989-05-28,10,"DOsat_perc",91
1989-05-28,11,"DO_mgL",10
1989-05-28,11,"DOsat_perc",89
1989-05-28,12,"DO_mgL",10
1989-05-28,12,"DOsat_perc",89
1989-05-28,13,"DO_mgL",10.1
1989-05-28,13,"DOsat_perc",87
1989-05-28,14,"DO_mgL",9.9
1989-05-28,14,"DOsat_perc",84
1989-05-28,15,"DO_mgL",9.9
1989-05-28,15,"DOsat_perc",82
1989-05-28,16,"DO_mgL",9.8
1989-05-28,16,"DOsat_perc",81
1989-05-28,17,"DO_mgL",9.7
1989-05-28,17,"DOsat_perc",81
1989-05-28,18,"DO_mgL",9.7
1989-05-28,18,"DOsat_perc",81
1989-05-28,19,"DO_mgL",9.6
1989-05-28,19,"DOsat_perc",80
1989-06-25,0.1,"DO_mgL",8.5
1989-06-25,0.1,"DOsat_perc",100
1989-06-25,0.5,"DO_mgL",8.5
1989-06-25,0.5,"DOsat_perc",100
1989-06-25,1,"DOsat_perc",101
1989-06-25,2,"DO_mgL",8.6
1989-06-25,2,"DOsat_perc",99
1989-06-25,3,"DO_mgL",8.5
1989-06-25,3,"DOsat_perc",98
1989-06-25,4,"DO_mgL",8.8
1989-06-25,4,"DOsat_perc",99
1989-06-25,5,"DO_mgL",9.1
1989-06-25,5,"DOsat_perc",102
1989-06-25,5.5,"DO_mgL",9.1
1989-06-25,5.5,"DOsat_perc",100
1989-06-25,6,"DO_mgL",9.1
1989-06-25,6,"DOsat_perc",100
1989-06-25,6.5,"DO_mgL",9.4
1989-06-25,6.5,"DOsat_perc",101
1989-06-25,7,"DO_mgL",10.2
1989-06-25,7,"DOsat_perc",105
1989-06-25,7.5,"DO_mgL",10.7
1989-06-25,7.5,"DOsat_perc",107
1989-06-25,8,"DO_mgL",10.6
1989-06-25,8,"DOsat_perc",104
1989-06-25,8.5,"DO_mgL",10.6
1989-06-25,8.5,"DOsat_perc",102
1989-06-25,9,"DO_mgL",10.5
1989-06-25,9,"DOsat_perc",99
1989-06-25,9.5,"DO_mgL",10.2
1989-06-25,9.5,"DOsat_perc",94
1989-06-25,10,"DO_mgL",10.2
1989-06-25,10,"DOsat_perc",94
1989-06-25,10.5,"DO_mgL",9.8
1989-06-25,10.5,"DOsat_perc",87
1989-06-25,11,"DO_mgL",9.9
1989-06-25,11,"DOsat_perc",86
1989-06-25,12,"DO_mgL",9.9
1989-06-25,12,"DOsat_perc",86
1989-06-25,13,"DO_mgL",9.9
1989-06-25,13,"DOsat_perc",84
1989-06-25,14,"DO_mgL",9.7
1989-06-25,14,"DOsat_perc",83
1989-06-25,15,"DO_mgL",9.5
1989-06-25,15,"DOsat_perc",81
1989-06-25,16,"DO_mgL",9.1
1989-06-25,16,"DOsat_perc",77
1989-06-25,17,"DO_mgL",8.8
1989-06-25,17,"DOsat_perc",73
1989-06-25,18,"DO_mgL",8.9
1989-06-25,18,"DOsat_perc",74
1989-06-25,19,"DO_mgL",8.9
1989-06-25,19,"DOsat_perc",74
1989-06-25,20,"DO_mgL",6.7
1989-06-25,20,"DOsat_perc",56
1989-06-28,3.5,"TP_mgL",0.003
1989-06-28,3.5,"pH",6.6
1989-06-28,3.5,"COND",59
1989-06-28,10,"TP_mgL",0.002
1989-06-28,10,"pH",5.8
1989-06-28,10,"COND",50
1989-06-28,21,"TP_mgL",0.001
1989-06-28,21,"pH",5.4
1989-06-28,21,"COND",55
1989-07-25,3.5,"TP_mgL",0.001
1989-07-25,3.5,"pH",6.6
1989-07-25,3.5,"COND",72.9
1989-07-25,10,"TP_mgL",0.002
1989-07-25,10,"pH",6.5
1989-07-25,10,"COND",71.6
1989-07-25,21,"pH",6.5
1989-07-25,21,"COND",68.3
1989-08-30,0.1,"DO_mgL",8.5
1989-08-30,0.1,"DOsat_perc",93
1989-08-30,0.5,"DO_mgL",8.4
1989-08-30,0.5,"DOsat_perc",92
1989-08-30,1,"DOsat_perc",93
1989-08-30,2,"DO_mgL",8.5
1989-08-30,2,"DOsat_perc",93
1989-08-30,3,"DO_mgL",8.3
1989-08-30,3,"DOsat_perc",89
1989-08-30,3.5,"TP_mgL",0.001
1989-08-30,3.5,"pH",6.5
1989-08-30,3.5,"COND",74.3
1989-08-30,4,"DO_mgL",8.3
1989-08-30,4,"DOsat_perc",89
1989-08-30,5,"DO_mgL",8.4
1989-08-30,5,"DOsat_perc",90
1989-08-30,6,"DO_mgL",8.4
